(-1.0;5.09394020255;0),(-1.0;5.09394020255;0),(-101.0;-101.0;0),(-1.0;-1.0;0),
(-1.0;6.15486710468;0),(-1.0;6.15486710468;0),(-99.0;-99.0;0),(1.0;1.0;0),
(-1.0;7.22588239077;0),(-1.0;7.22588239077;0),(-97.0;-97.0;0),(3.0;3.0;0),
(-1.0;8.30834406248;0),(-1.0;8.30834406248;0),(-93.0;-93.0;0),(7.0;7.0;0),
(-1.0;9.89;1),(-1.0;9.30471567797;0),(-89.0;-89.0;0),(11.0;11.0;0),
(-1.0;15.83;1),(-1.0;9.50527100098;0),(-83.0;-83.0;0),(17.0;17.0;0),
(-1.0;21.77;1),(-1.0;9.01744770269;0),(-77.0;-77.0;0),(23.0;23.0;0),
(-1.0;29.69;1),(-1.0;7.67264259806;0),(-69.0;-69.0;0),(31.0;31.0;0),
(-1.0;37.61;1),(-1.0;5.55537467712;0),(-61.0;-61.0;0),(39.0;39.0;0),
(-1.0;6.62333954893;0),(-1.0;6.62333954893;0),(-101.0;-101.0;0),(-1.0;-1.0;0),
(-1.0;7.70321778676;0),(-1.0;7.70321778676;0),(-101.0;-101.0;0),(-1.0;-1.0;0),
(-1.0;37.61;1),(-1.0;5.59275408263;0),(-61.0;-61.0;0),(39.0;39.0;0),
(-1.0;29.69;1),(-1.0;3.77925990418;0),(-69.0;-69.0;0),(31.0;31.0;0),
(-1.0;21.77;1),(-1.0;2.40587811285;0),(-77.0;-77.0;0),(23.0;23.0;0),
(-1.0;15.83;1),(-1.0;1.38059734982;0),(-83.0;-83.0;0),(17.0;17.0;0),
(-1.0;9.89;1),(-1.0;0.914962875109;0),(-89.0;-89.0;0),(11.0;11.0;0),
(-1.0;5.93;1),(-1.0;0.942919010937;0),(-93.0;-93.0;0),(7.0;7.0;0),
(-1.0;1.97;1),(-1.0;1.96696781745;0),(-97.0;-97.0;0),(3.0;3.0;0),
(-1.0;3.00070548578;0),(-1.0;3.00070548578;0),(-99.0;-99.0;0),(1.0;1.0;0),
(-1.0;4.04300080052;0),(-1.0;4.04300080052;0),(-101.0;-101.0;0),(-1.0;-1.0;0),
(0.0;0.0;0),
